시도별,2018. 01. 발생,2018. 01. 사망,2018. 01. 부상,2018. 02. 발생,2018. 02. 사망,2018. 02. 부상,2018. 03. 발생,2018. 03. 사망,2018. 03. 부상,2018. 04. 발생,2018. 04. 사망,2018. 04. 부상,2018. 05. 발생,2018. 05. 사망,2018. 05. 부상,2018. 06. 발생,2018. 06. 사망,2018. 06. 부상,2018. 07. 발생,2018. 07. 사망,2018. 07. 부상,2018. 08. 발생,2018. 08. 사망,2018. 08. 부상,2018. 09. 발생,2018. 09. 사망,2018. 09. 부상,2018. 10. 발생,2018. 10. 사망,2018. 10. 부상,2018. 11. 발생,2018. 11. 사망,2018. 11. 부상,2018. 12. 발생,2018. 12. 사망,2018. 12. 부상
서울,3192,30,4490,2973,28,4178,3072,28,4288,3219,24,4375,3454,22,4795,3253,21,4452,3321,29,4588,3203,27,4528,3144,20,4335,3500,21,4752,3243,30,4499,3221,24,4471
부산,965,10,1325,859,9,1215,1019,15,1425,963,12,1317,1016,11,1456,969,6,1297,1030,14,1487,1021,9,1354,1007,13,1428,1029,13,1369,1039,4,1422,1020,7,1373
경기,4405,61,6760,4327,44,6804,3932,56,5925,4327,52,6593,4445,60,6751,4397,56,6441,4610,51,7132,4359,67,6724,4504,59,6970,4845,61,7178,4765,46,7141,4532,65,6755
강원,588,13,937,522,9,913,526,19,821,593,19,901,662,14,1025,635,13,983,663,14,1089,717,20,1208,683,20,1109,678,21,1027,654,14,1034,577,21,875
충북,621,12,1040,692,30,1135,763,8,1214,821,18,1344,787,20,1303,818,20,1328,855,20,1385,841,23,1327,820,20,1437,881,17,1397,934,18,1484,785,18,1293
충남,596,18,869,632,21,947,713,39,1048,773,30,1173,799,21,1290,725,18,1056,745,26,1125,756,30,1121,767,45,1162,831,40,1242,742,35,1157,728,31,1093
전북,533,20,796,489,19,786,549,12,766,605,20,877,599,23,929,569,19,864,555,27,815,585,19,934,623,25,977,652,26,957,626,20,940,544,16,811
전남,668,29,1129,665,18,1052,762,27,1204,841,23,1362,843,32,1376,798,23,1297,863,22,1422,859,37,1382,857,34,1357,984,26,1512,843,28,1319,804,31,1268
경북,1023,24,1563,961,29,1470,1097,25,1609,1204,29,1839,1212,38,1819,1169,27,1691,1240,33,1868,1236,41,1934,1223,39,1864,1282,61,1894,1200,26,1724,1119,37,1644
경남,859,21,1230,807,22,1132,952,28,1349,958,25,1366,968,23,1364,967,30,1408,996,31,1416,961,35,1399,970,30,1396,1091,28,1564,990,28,1422,974,32,1408
제주,331,11,548,269,7,455,371,5,560,332,6,504,351,2,533,391,4,615,383,9,586,377,6,627,338,2,546,355,10,532,402,13,606,339,7,499
대구,1044,11,1482,908,13,1292,1030,13,1490,1105,9,1660,1165,13,1708,1116,6,1596,1152,10,1717,1130,11,1682,1122,8,1690,1131,9,1666,1198,4,1761,1098,13,1588
인천,694,14,991,636,9,979,585,7,868,613,10,885,666,2,955,606,4,869,671,13,919,598,12,893,679,10,976,674,13,980,611,11,828,599,8,833
광주,562,7,924,515,5,830,607,5,973,598,9,940,645,6,1010,618,5,1059,639,7,1093,639,5,1064,643,4,1009,666,12,1053,672,7,1009,655,4,1013
대전,547,11,805,567,7,882,599,9,901,622,8,877,630,11,940,645,5,1036,617,4,942,673,6,1022,623,9,942,684,11,1028,709,6,1068,638,6,989
울산,341,8,461,313,5,445,364,10,468,330,7,518,318,9,460,337,6,476,297,5,435,328,8,465,318,6,492,390,4,595,336,8,495,320,3,467
세종,57,4,88,73,0,115,81,4,106,88,2,112,76,2,120,69,3,106,62,0,85,52,1,85,50,4,61,65,0,90,65,0,91,57,0,83
